target,ligand,seed,affinity
enpp3,CHEMBL5555976,12,-7.7
enpp1,CHEMBL5915707,13,-7.9
enpp3,CHEMBL6149286,12,-11.0
enpp3,CHEMBL6174154,12,-10.2
enpp1,CHEMBL5555976,13,-8.1
enpp3,TZV_native,12,-9.9
enpp1,CHEMBL6149286,13,-9.0
enpp1,CHEMBL6174154,13,-9.0
enpp1,CHEMBL5826130,13,-7.9
enpp1,TZV_native,13,-9.1
enpp1,CHEMBL5915707,13,-7.9
enpp2,CHEMBL5826130,13,-7.3
enpp1,CHEMBL5555976,13,-8.1
enpp1,CHEMBL6149286,13,-9.0
enpp2,CHEMBL5915707,13,-6.8
enpp1,CHEMBL6174154,13,-9.0
enpp2,CHEMBL5555976,13,-8.2
enpp1,TZV_native,13,-9.1
enpp2,CHEMBL6149286,13,-10.0
enpp2,CHEMBL5826130,13,-7.3
enpp2,CHEMBL6174154,13,-8.8
enpp2,CHEMBL5915707,13,-6.8
enpp2,TZV_native,13,-8.4
enpp2,CHEMBL5555976,13,-8.2
enpp3,CHEMBL5826130,13,-7.6
enpp2,CHEMBL6149286,13,-10.0
enpp3,CHEMBL5915707,13,-7.6
enpp2,CHEMBL6174154,13,-8.8
enpp3,CHEMBL5555976,13,-7.7
enpp2,TZV_native,13,-8.4
enpp3,CHEMBL6149286,13,-11.0
enpp3,CHEMBL6174154,13,-10.1
enpp3,CHEMBL5826130,13,-7.6
enpp3,TZV_native,13,-10.0
enpp3,CHEMBL5915707,13,-7.6
enpp1,CHEMBL5826130,14,-7.8
enpp3,CHEMBL5555976,13,-7.7
enpp1,CHEMBL5915707,14,-7.9
enpp3,CHEMBL6149286,13,-11.0
enpp3,CHEMBL6174154,13,-10.1
enpp1,CHEMBL5555976,14,-8.2
enpp3,TZV_native,13,-10.0
enpp1,CHEMBL6149286,14,-9.3
enpp1,CHEMBL6174154,14,-8.8
enpp1,CHEMBL5826130,14,-7.8
enpp1,TZV_native,14,-8.7
enpp1,CHEMBL5915707,14,-7.9
enpp2,CHEMBL5826130,14,-7.3
enpp1,CHEMBL5555976,14,-8.2
enpp1,CHEMBL6149286,14,-9.3
enpp2,CHEMBL5915707,14,-7.1
enpp1,CHEMBL6174154,14,-8.8
enpp2,CHEMBL5555976,14,-8.2
enpp1,TZV_native,14,-8.7
enpp2,CHEMBL6149286,14,-10.1
enpp2,CHEMBL5826130,14,-7.3
enpp2,CHEMBL6174154,14,-9.4
enpp2,CHEMBL5915707,14,-7.1
enpp2,TZV_native,14,-8.6
enpp2,CHEMBL5555976,14,-8.2
enpp3,CHEMBL5826130,14,-7.7
enpp2,CHEMBL6149286,14,-10.1
enpp3,CHEMBL5915707,14,-7.3
enpp2,CHEMBL6174154,14,-9.4
enpp3,CHEMBL5555976,14,-7.7
enpp2,TZV_native,14,-8.6
enpp3,CHEMBL6149286,14,-10.9
enpp3,CHEMBL6174154,14,-10.2
enpp3,CHEMBL5826130,14,-7.7
enpp3,TZV_native,14,-9.9
enpp3,CHEMBL5915707,14,-7.3
enpp1,CHEMBL5826130,15,-7.8
enpp3,CHEMBL5555976,14,-7.7
enpp1,CHEMBL5915707,15,-7.9
enpp3,CHEMBL6149286,14,-10.9
enpp3,CHEMBL6174154,14,-10.2
enpp1,CHEMBL5555976,15,-8.2
enpp3,TZV_native,14,-9.9
enpp1,CHEMBL6149286,15,-9.1
enpp1,CHEMBL6174154,15,-8.8
enpp1,CHEMBL5826130,15,-7.8
enpp1,TZV_native,15,-9.1
enpp1,CHEMBL5915707,15,-7.9
enpp2,CHEMBL5826130,15,-7.4
enpp1,CHEMBL5555976,15,-8.2
enpp2,CHEMBL5915707,15,-6.8
enpp1,CHEMBL6149286,15,-9.1
enpp1,CHEMBL6174154,15,-8.8
enpp2,CHEMBL5555976,15,-8.2
